human_resistance,gsr_average,emotion
-3,187,Şaşırmış Durum
-856,333,Üzgün Durum
-55,67,Sinirli Durum
33,437,Mutlu Durum
-79,322,Sinirli Durum
-798,339,Üzgün Durum
-1698,425,Üzgün Durum
6,14,Rahatlamış Durum
18,22,Rahatlamış Durum
-529,604,Üzgün Durum
23,393,Mutlu Durum
-23,218,Şaşırmış Durum
26,405,Mutlu Durum
15,421,Mutlu Durum
18,177,Şaşırmış Durum
-1416,321,Üzgün Durum
19,89,Heyecanlı Durum
-87,482,Sinirli Durum
-76,57,Sinirli Durum
-320,641,Üzgün Durum
-102,189,Heyecanlı Durum
24,199,Şaşırmış Durum
5,142,Şaşırmış Durum
-41,610,Sinirli Durum
-10,152,Şaşırmış Durum
33,423,Mutlu Durum
-56,241,Sinirli Durum
-1685,731,Üzgün Durum
-84,532,Sinirli Durum
-30,69,Heyecanlı Durum
28,62,Heyecanlı Durum
35,364,Mutlu Durum
25,92,Heyecanlı Durum
-2990,635,Üzgün Durum
12,208,Şaşırmış Durum
-91,653,Sinirli Durum
-62,630,Sinirli Durum
23,369,Mutlu Durum
-436,34,Üzgün Durum
-71,748,Sinirli Durum
-2158,616,Üzgün Durum
-49,18,Sinirli Durum
-60,26,Rahatlamış Durum
-23,12,Rahatlamış Durum
13,461,Üzgün Durum
34,370,Mutlu Durum
-56,22,Rahatlamış Durum
-55,28,Rahatlamış Durum
-15,222,Şaşırmış Durum
-67,23,Rahatlamış Durum
-3002,460,Üzgün Durum
-3013,146,Üzgün Durum
-84,342,Sinirli Durum
-888,102,Üzgün Durum
16,151,Şaşırmış Durum
23,386,Mutlu Durum
-1639,499,Üzgün Durum
-1987,27,Üzgün Durum
2,241,Şaşırmış Durum
32,34,Rahatlamış Durum
-87,195,Heyecanlı Durum
-57,21,Rahatlamış Durum
-2272,383,Üzgün Durum
11,249,Şaşırmış Durum
24,375,Mutlu Durum
25,435,Mutlu Durum
14,15,Rahatlamış Durum
-77,265,Sinirli Durum
24,394,Mutlu Durum
-295,713,Üzgün Durum
-74,312,Sinirli Durum
-2729,559,Üzgün Durum
-82,249,Sinirli Durum
15,391,Mutlu Durum
22,372,Mutlu Durum
32,22,Rahatlamış Durum
-1449,657,Üzgün Durum
-74,38,Sinirli Durum
-82,144,Sinirli Durum
-92,176,Sinirli Durum
29,422,Mutlu Durum
-33,154,Heyecanlı Durum
-2911,272,Üzgün Durum
-1099,45,Üzgün Durum
-39,168,Sinirli Durum
-27,207,Şaşırmış Durum
-86,329,Sinirli Durum
-51,13,Rahatlamış Durum
27,417,Mutlu Durum
16,153,Şaşırmış Durum
-80,147,Sinirli Durum
14,208,Şaşırmış Durum
-41,58,Heyecanlı Durum
-2885,369,Üzgün Durum
-35,81,Heyecanlı Durum
-52,33,Sinirli Durum
20,362,Mutlu Durum
-2809,196,Üzgün Durum
-9,177,Şaşırmış Durum
4,16,Rahatlamış Durum
27,428,Mutlu Durum
11,136,Şaşırmış Durum
-6,227,Şaşırmış Durum
31,162,Heyecanlı Durum
15,464,Mutlu Durum
-40,311,Sinirli Durum
23,28,Rahatlamış Durum
-58,14,Rahatlamış Durum
-49,93,Sinirli Durum
16,432,Mutlu Durum
-64,127,Heyecanlı Durum
-1143,675,Üzgün Durum
-29,119,Heyecanlı Durum
-98,169,Heyecanlı Durum
35,411,Mutlu Durum
-23,14,Rahatlamış Durum
2,215,Heyecanlı Durum
-68,170,Heyecanlı Durum
18,350,Mutlu Durum
25,468,Mutlu Durum
-54,156,Heyecanlı Durum
-30,25,Rahatlamış Durum
-59,37,Rahatlamış Durum
-86,178,Heyecanlı Durum
-42,34,Rahatlamış Durum
-4,218,Şaşırmış Durum
30,400,Mutlu Durum
-2,219,Şaşırmış Durum
-87,761,Sinirli Durum
-68,149,Heyecanlı Durum
25,471,Mutlu Durum
34,36,Rahatlamış Durum
-981,444,Üzgün Durum
-35,174,Şaşırmış Durum
-48,733,Sinirli Durum
-3133,50,Üzgün Durum
-59,145,Heyecanlı Durum
25,356,Mutlu Durum
-743,279,Üzgün Durum
-95,53,Heyecanlı Durum
-63,13,Rahatlamış Durum
-44,638,Sinirli Durum
26,405,Mutlu Durum
34,393,Mutlu Durum
-18,146,Heyecanlı Durum
-10,145,Şaşırmış Durum
-30,258,Şaşırmış Durum
-88,422,Sinirli Durum
7,195,Şaşırmış Durum
-92,734,Sinirli Durum
20,360,Mutlu Durum
-2044,658,Üzgün Durum
-23,138,Heyecanlı Durum
24,436,Mutlu Durum
-86,281,Sinirli Durum
-39,157,Sinirli Durum
23,180,Şaşırmış Durum
-221,666,Üzgün Durum
-21,21,Rahatlamış Durum
-32,117,Heyecanlı Durum
-35,223,Sinirli Durum
19,362,Mutlu Durum
-37,67,Sinirli Durum
-55,145,Sinirli Durum
-98,131,Heyecanlı Durum
29,439,Mutlu Durum
15,446,Mutlu Durum
-87,358,Sinirli Durum
6,18,Rahatlamış Durum
-49,140,Heyecanlı Durum
18,378,Mutlu Durum
9,186,Heyecanlı Durum
-63,150,Sinirli Durum
-73,562,Sinirli Durum
15,171,Şaşırmış Durum
-472,13,Üzgün Durum
-21,259,Şaşırmış Durum
-576,684,Üzgün Durum
-5,177,Şaşırmış Durum
-25,181,Şaşırmış Durum
7,87,Heyecanlı Durum
-57,739,Sinirli Durum
6,31,Rahatlamış Durum
15,419,Mutlu Durum
-9,20,Rahatlamış Durum
-24,24,Rahatlamış Durum
-25,104,Heyecanlı Durum
-16,27,Rahatlamış Durum
-92,761,Sinirli Durum
28,156,Şaşırmış Durum
23,384,Mutlu Durum
16,475,Mutlu Durum
21,372,Mutlu Durum
16,461,Mutlu Durum
1,20,Rahatlamış Durum
35,449,Mutlu Durum
-3146,483,Üzgün Durum
-2641,158,Üzgün Durum
-96,78,Sinirli Durum
18,444,Mutlu Durum
-2606,541,Üzgün Durum
26,426,Mutlu Durum
20,445,Mutlu Durum
-70,702,Sinirli Durum
-49,67,Heyecanlı Durum
-3272,491,Üzgün Durum
32,451,Mutlu Durum
-81,446,Sinirli Durum
-17,194,Heyecanlı Durum
-3,195,Şaşırmış Durum
8,101,Heyecanlı Durum
-19,91,Heyecanlı Durum
5,169,Şaşırmış Durum
-63,475,Sinirli Durum
-74,713,Sinirli Durum
19,225,Şaşırmış Durum
-60,31,Rahatlamış Durum
-2782,17,Üzgün Durum
-732,145,Üzgün Durum
-1569,497,Üzgün Durum
0,13,Rahatlamış Durum
-27,188,Heyecanlı Durum
34,440,Mutlu Durum
-10,214,Şaşırmış Durum
29,216,Şaşırmış Durum
3,22,Rahatlamış Durum
-1638,245,Üzgün Durum
1,186,Heyecanlı Durum
-1296,552,Üzgün Durum
-53,155,Heyecanlı Durum
7,92,Heyecanlı Durum
-28,229,Şaşırmış Durum
-49,27,Rahatlamış Durum
33,405,Mutlu Durum
-49,806,Sinirli Durum
15,462,Mutlu Durum
-1047,761,Üzgün Durum
-44,15,Rahatlamış Durum
15,362,Mutlu Durum
-30,240,Şaşırmış Durum
-28,235,Şaşırmış Durum
-23,170,Şaşırmış Durum
-49,14,Rahatlamış Durum
-47,416,Sinirli Durum
-90,393,Sinirli Durum
-28,26,Rahatlamış Durum
-21,229,Şaşırmış Durum
-89,91,Sinirli Durum
-2613,205,Üzgün Durum
-1913,663,Üzgün Durum
-40,127,Şaşırmış Durum
-96,768,Üzgün Durum
-1948,696,Üzgün Durum
-25,200,Heyecanlı Durum
-1903,622,Üzgün Durum
-1896,197,Üzgün Durum
7,151,Şaşırmış Durum
4,129,Heyecanlı Durum
27,184,Şaşırmış Durum
-1,219,Şaşırmış Durum
-2516,529,Üzgün Durum
11,125,Heyecanlı Durum
-12,73,Heyecanlı Durum
-24,112,Heyecanlı Durum
12,216,Heyecanlı Durum
-77,748,Sinirli Durum
-2,11,Rahatlamış Durum
-57,11,Rahatlamış Durum
-2034,74,Üzgün Durum
-2819,128,Üzgün Durum
-1040,576,Üzgün Durum
-70,151,Heyecanlı Durum
-98,102,Heyecanlı Durum
-830,69,Üzgün Durum
-2427,608,Üzgün Durum
-97,260,Sinirli Durum
1,22,Rahatlamış Durum
-39,199,Şaşırmış Durum
-42,139,Heyecanlı Durum
-84,87,Heyecanlı Durum
-90,744,Sinirli Durum
-31,52,Heyecanlı Durum
30,56,Heyecanlı Durum
-47,14,Rahatlamış Durum
9,145,Şaşırmış Durum
-44,26,Sinirli Durum
33,399,Mutlu Durum
16,409,Mutlu Durum
-2870,65,Üzgün Durum
3,172,Şaşırmış Durum
-65,26,Rahatlamış Durum
0,18,Rahatlamış Durum
16,13,Rahatlamış Durum
14,156,Heyecanlı Durum
-93,40,Sinirli Durum
-92,532,Sinirli Durum
-72,481,Sinirli Durum
30,157,Şaşırmış Durum
-154,100,Üzgün Durum
34,14,Rahatlamış Durum
30,64,Heyecanlı Durum
31,456,Mutlu Durum
-53,11,Sinirli Durum
-74,394,Sinirli Durum
32,355,Mutlu Durum
-90,176,Heyecanlı Durum
-2498,418,Üzgün Durum
-73,120,Heyecanlı Durum
-16,31,Rahatlamış Durum
16,17,Rahatlamış Durum
-84,94,Heyecanlı Durum
16,420,Mutlu Durum
16,366,Mutlu Durum
26,377,Mutlu Durum
-2877,566,Üzgün Durum
22,73,Heyecanlı Durum
-85,270,Sinirli Durum
-77,647,Sinirli Durum
19,358,Mutlu Durum
-2044,401,Üzgün Durum
21,389,Mutlu Durum
26,440,Mutlu Durum
23,172,Heyecanlı Durum
-301,791,Üzgün Durum
-99,278,Sinirli Durum
-2290,786,Üzgün Durum
-1,139,Heyecanlı Durum
-1264,786,Üzgün Durum
-32,236,Şaşırmış Durum
22,421,Mutlu Durum
-21,28,Rahatlamış Durum
20,449,Mutlu Durum
7,15,Rahatlamış Durum
26,478,Mutlu Durum
-102,721,Sinirli Durum
-62,190,Heyecanlı Durum
-47,809,Sinirli Durum
23,185,Şaşırmış Durum
-99,42,Sinirli Durum
-99,95,Heyecanlı Durum
-62,648,Sinirli Durum
-64,811,Sinirli Durum
-45,58,Sinirli Durum
-82,184,Heyecanlı Durum
-15,126,Heyecanlı Durum
9,251,Şaşırmış Durum
-14,159,Şaşırmış Durum
-2114,624,Üzgün Durum
-12,18,Rahatlamış Durum
-692,441,Üzgün Durum
19,370,Mutlu Durum
35,414,Mutlu Durum
-1404,682,Üzgün Durum
-1789,357,Üzgün Durum
-33,189,Şaşırmış Durum
-54,11,Rahatlamış Durum
-331,92,Üzgün Durum
13,237,Şaşırmış Durum
21,466,Mutlu Durum
-28,231,Şaşırmış Durum
-9,17,Rahatlamış Durum
-34,203,Heyecanlı Durum
-6,180,Şaşırmış Durum
17,472,Mutlu Durum
-86,625,Sinirli Durum
-35,144,Heyecanlı Durum
-69,480,Sinirli Durum
-1963,633,Üzgün Durum
-37,141,Şaşırmış Durum
18,11,Rahatlamış Durum
22,133,Şaşırmış Durum
-78,139,Heyecanlı Durum
-93,140,Heyecanlı Durum
-15,92,Heyecanlı Durum
-2429,538,Üzgün Durum
-100,99,Sinirli Durum
-36,13,Sinirli Durum
-52,119,Heyecanlı Durum
18,166,Heyecanlı Durum
-41,30,Rahatlamış Durum
13,125,Şaşırmış Durum
28,388,Mutlu Durum
16,434,Mutlu Durum
-38,103,Sinirli Durum
-4,221,Şaşırmış Durum
-31,141,Şaşırmış Durum
-72,655,Sinirli Durum
18,453,Mutlu Durum
-19,66,Heyecanlı Durum
-1708,155,Üzgün Durum
4,36,Rahatlamış Durum
-45,341,Sinirli Durum
12,34,Rahatlamış Durum
-68,214,Sinirli Durum
33,21,Rahatlamış Durum
0,34,Rahatlamış Durum
-38,108,Heyecanlı Durum
-45,607,Sinirli Durum
16,32,Rahatlamış Durum
-1232,208,Üzgün Durum
-66,32,Rahatlamış Durum
-84,438,Sinirli Durum
-105,199,Heyecanlı Durum
1,223,Şaşırmış Durum
26,476,Mutlu Durum
-23,19,Rahatlamış Durum
-76,308,Sinirli Durum
-74,519,Sinirli Durum
-67,25,Sinirli Durum
-21,29,Rahatlamış Durum
17,459,Mutlu Durum
33,447,Mutlu Durum
10,183,Şaşırmış Durum
35,440,Mutlu Durum
-60,59,Sinirli Durum
-60,798,Sinirli Durum
34,452,Mutlu Durum
15,149,Şaşırmış Durum
-48,87,Heyecanlı Durum
9,145,Heyecanlı Durum
-23,175,Şaşırmış Durum
33,413,Mutlu Durum
-33,248,Şaşırmış Durum
23,389,Mutlu Durum
-1206,325,Üzgün Durum
-65,18,Rahatlamış Durum
-52,437,Sinirli Durum
-78,40,Sinirli Durum
-79,734,Sinirli Durum
27,247,Şaşırmış Durum
24,351,Mutlu Durum
20,21,Rahatlamış Durum
-8,34,Rahatlamış Durum
-67,697,Sinirli Durum
-2328,568,Üzgün Durum
-27,150,Şaşırmış Durum
20,30,Rahatlamış Durum
-96,114,Heyecanlı Durum
-65,652,Sinirli Durum
33,18,Rahatlamış Durum
-1777,21,Üzgün Durum
6,16,Rahatlamış Durum
29,407,Mutlu Durum
-87,130,Heyecanlı Durum
19,399,Mutlu Durum
-66,533,Sinirli Durum
15,433,Mutlu Durum
-74,806,Sinirli Durum
-62,613,Sinirli Durum
17,415,Mutlu Durum
-80,137,Heyecanlı Durum
-66,28,Rahatlamış Durum
-77,209,Heyecanlı Durum
-1,29,Rahatlamış Durum
30,468,Mutlu Durum
-21,186,Şaşırmış Durum
21,435,Mutlu Durum
16,36,Rahatlamış Durum
28,444,Mutlu Durum
-56,144,Sinirli Durum
-15,118,Heyecanlı Durum
-1254,42,Üzgün Durum
-83,93,Heyecanlı Durum
-21,26,Rahatlamış Durum
-12,214,Şaşırmış Durum
28,471,Mutlu Durum
-101,66,Heyecanlı Durum
16,459,Mutlu Durum
-85,821,Sinirli Durum
-1461,187,Üzgün Durum
-6,19,Rahatlamış Durum
21,352,Mutlu Durum
-23,184,Şaşırmış Durum
-74,91,Heyecanlı Durum
19,21,Rahatlamış Durum
-2606,443,Üzgün Durum
-50,417,Sinirli Durum
-25,165,Heyecanlı Durum
-91,270,Sinirli Durum
-12,25,Rahatlamış Durum
25,146,Şaşırmış Durum
35,375,Mutlu Durum
-39,172,Şaşırmış Durum
26,467,Mutlu Durum
-87,300,Sinirli Durum
-884,172,Üzgün Durum
-353,110,Üzgün Durum
14,257,Şaşırmış Durum
-100,479,Sinirli Durum
-104,376,Sinirli Durum
26,390,Mutlu Durum
-35,567,Sinirli Durum
-1899,544,Üzgün Durum
-90,776,Sinirli Durum
-50,795,Sinirli Durum
22,370,Mutlu Durum
-75,611,Sinirli Durum
23,356,Mutlu Durum
20,26,Rahatlamış Durum
1,32,Rahatlamış Durum
-46,173,Heyecanlı Durum
-2,260,Şaşırmış Durum
-72,335,Sinirli Durum
-3,163,Heyecanlı Durum
-43,31,Rahatlamış Durum
-2938,638,Üzgün Durum
-105,647,Sinirli Durum
17,203,Şaşırmış Durum
-95,500,Sinirli Durum
-82,168,Heyecanlı Durum
12,182,Şaşırmış Durum
14,199,Şaşırmış Durum
-397,796,Üzgün Durum
-80,112,Heyecanlı Durum
-16,56,Heyecanlı Durum
-96,471,Sinirli Durum
-52,694,Sinirli Durum
21,75,Heyecanlı Durum
31,203,Heyecanlı Durum
14,199,Heyecanlı Durum
-60,34,Rahatlamış Durum
-36,191,Şaşırmış Durum
-44,24,Rahatlamış Durum
18,177,Heyecanlı Durum
29,143,Şaşırmış Durum
-39,232,Sinirli Durum
33,378,Mutlu Durum
-6,194,Şaşırmış Durum
27,426,Mutlu Durum
-4,249,Şaşırmış Durum
-2181,255,Üzgün Durum
-55,530,Sinirli Durum
-67,126,Heyecanlı Durum
15,396,Mutlu Durum
34,12,Rahatlamış Durum
-654,708,Üzgün Durum
-2143,139,Üzgün Durum
-1634,306,Üzgün Durum
16,385,Mutlu Durum
-24,176,Şaşırmış Durum
-2271,634,Üzgün Durum
-19,207,Heyecanlı Durum
-29,138,Şaşırmış Durum
32,161,Heyecanlı Durum
28,463,Mutlu Durum
-15,234,Şaşırmış Durum
-48,343,Sinirli Durum
-1738,118,Üzgün Durum
20,368,Mutlu Durum
21,230,Şaşırmış Durum
-28,19,Rahatlamış Durum
-98,575,Sinirli Durum
-22,137,Şaşırmış Durum
17,468,Mutlu Durum
-50,778,Sinirli Durum
-20,186,Şaşırmış Durum
10,141,Heyecanlı Durum
3,207,Şaşırmış Durum
-84,584,Sinirli Durum
11,11,Rahatlamış Durum
-31,192,Şaşırmış Durum
24,384,Mutlu Durum
-23,24,Rahatlamış Durum
-2501,675,Üzgün Durum
-484,36,Üzgün Durum
34,410,Mutlu Durum
-81,574,Sinirli Durum
-13,24,Rahatlamış Durum
-30,178,Şaşırmış Durum
-39,137,Şaşırmış Durum
9,173,Heyecanlı Durum
-17,21,Rahatlamış Durum
18,414,Mutlu Durum
3,182,Heyecanlı Durum
-26,204,Heyecanlı Durum
31,74,Heyecanlı Durum
-40,255,Şaşırmış Durum
32,364,Mutlu Durum
19,466,Mutlu Durum
-511,54,Üzgün Durum
-68,98,Heyecanlı Durum
-77,94,Heyecanlı Durum
-97,216,Heyecanlı Durum
2,35,Rahatlamış Durum
-15,215,Şaşırmış Durum
7,214,Heyecanlı Durum
-19,20,Rahatlamış Durum
-49,584,Sinirli Durum
-92,696,Sinirli Durum
-29,22,Rahatlamış Durum
-18,37,Rahatlamış Durum
-68,98,Heyecanlı Durum
-37,163,Şaşırmış Durum
-544,306,Üzgün Durum
-40,139,Şaşırmış Durum
-98,53,Heyecanlı Durum
-20,167,Şaşırmış Durum
10,37,Rahatlamış Durum
34,381,Mutlu Durum
-68,230,Sinirli Durum
30,423,Mutlu Durum
-195,392,Üzgün Durum
17,250,Şaşırmış Durum
21,239,Şaşırmış Durum
23,478,Mutlu Durum
-19,37,Rahatlamış Durum
30,471,Mutlu Durum
-1328,75,Üzgün Durum
-20,176,Şaşırmış Durum
-23,24,Rahatlamış Durum
-6,87,Heyecanlı Durum
-68,25,Rahatlamış Durum
-28,191,Heyecanlı Durum
0,129,Şaşırmış Durum
-530,769,Üzgün Durum
-100,661,Sinirli Durum
-53,26,Rahatlamış Durum
30,209,Şaşırmış Durum
32,17,Rahatlamış Durum
-74,333,Sinirli Durum
-94,166,Sinirli Durum
-38,33,Rahatlamış Durum
2,64,Heyecanlı Durum
-75,480,Sinirli Durum
-418,770,Üzgün Durum
18,444,Mutlu Durum
31,12,Rahatlamış Durum
25,403,Mutlu Durum
-2299,695,Üzgün Durum
21,420,Mutlu Durum
33,435,Mutlu Durum
19,450,Mutlu Durum
29,153,Şaşırmış Durum
16,416,Mutlu Durum
28,143,Heyecanlı Durum
-41,157,Heyecanlı Durum
-62,187,Sinirli Durum
-12,170,Heyecanlı Durum
20,376,Mutlu Durum
-44,692,Sinirli Durum
-9,223,Şaşırmış Durum
20,151,Heyecanlı Durum
-24,189,Heyecanlı Durum
16,429,Mutlu Durum
-45,490,Sinirli Durum
-80,558,Sinirli Durum
-79,114,Sinirli Durum
-66,36,Rahatlamış Durum
-5,142,Heyecanlı Durum
-1709,500,Üzgün Durum
-45,86,Heyecanlı Durum
18,169,Şaşırmış Durum
16,207,Heyecanlı Durum
0,244,Şaşırmış Durum
-54,74,Heyecanlı Durum
18,387,Mutlu Durum
-26,194,Şaşırmış Durum
-55,35,Rahatlamış Durum
-48,183,Heyecanlı Durum
29,180,Şaşırmış Durum
29,468,Mutlu Durum
27,465,Mutlu Durum
-75,583,Sinirli Durum
-1697,449,Üzgün Durum
-77,788,Sinirli Durum
-2341,341,Üzgün Durum
-48,147,Heyecanlı Durum
-39,623,Sinirli Durum
-3090,485,Üzgün Durum
-3,183,Heyecanlı Durum
-86,620,Sinirli Durum
-24,246,Şaşırmış Durum
-39,734,Sinirli Durum
-89,609,Sinirli Durum
-50,64,Sinirli Durum
-3249,293,Üzgün Durum
15,476,Mutlu Durum
-36,28,Rahatlamış Durum
38,235,Üzgün Durum
21,220,Heyecanlı Durum
-67,34,Rahatlamış Durum
28,412,Mutlu Durum
-42,111,Heyecanlı Durum
33,415,Mutlu Durum
25,404,Mutlu Durum
-29,201,Şaşırmış Durum
-58,468,Sinirli Durum
-31,174,Şaşırmış Durum
-59,302,Sinirli Durum
-65,815,Sinirli Durum
-24,169,Şaşırmış Durum
-1894,503,Üzgün Durum
-28,31,Rahatlamış Durum
-583,518,Üzgün Durum
-28,202,Heyecanlı Durum
-1621,372,Üzgün Durum
-77,36,Sinirli Durum
-7,203,Şaşırmış Durum
-24,93,Heyecanlı Durum
-74,97,Heyecanlı Durum
21,19,Rahatlamış Durum
-98,403,Sinirli Durum
-99,526,Sinirli Durum
-63,19,Rahatlamış Durum
-84,547,Sinirli Durum
-2918,349,Üzgün Durum
19,475,Mutlu Durum
31,466,Mutlu Durum
-59,385,Sinirli Durum
19,396,Mutlu Durum
-87,785,Sinirli Durum
-76,497,Sinirli Durum
-35,135,Heyecanlı Durum
-80,406,Sinirli Durum
33,27,Rahatlamış Durum
-63,28,Rahatlamış Durum
-13,202,Şaşırmış Durum
-39,138,Şaşırmış Durum
3,245,Şaşırmış Durum
-26,137,Şaşırmış Durum
30,22,Rahatlamış Durum
15,219,Şaşırmış Durum
21,467,Mutlu Durum
-54,35,Rahatlamış Durum
-57,14,Sinirli Durum
7,120,Heyecanlı Durum
14,61,Heyecanlı Durum
20,426,Mutlu Durum
4,133,Şaşırmış Durum
25,440,Mutlu Durum
-13,21,Rahatlamış Durum
4,169,Şaşırmış Durum
-83,824,Sinirli Durum
-4,221,Şaşırmış Durum
34,407,Mutlu Durum
-40,241,Şaşırmış Durum
-35,157,Heyecanlı Durum
-69,18,Rahatlamış Durum
-12,26,Rahatlamış Durum
27,382,Mutlu Durum
-56,190,Heyecanlı Durum
20,23,Rahatlamış Durum
-90,104,Heyecanlı Durum
-4,205,Şaşırmış Durum
-27,135,Heyecanlı Durum
20,373,Mutlu Durum
21,164,Heyecanlı Durum
-50,155,Heyecanlı Durum
-2577,157,Üzgün Durum
-833,291,Üzgün Durum
7,31,Rahatlamış Durum
35,388,Mutlu Durum
-102,155,Heyecanlı Durum
5,141,Şaşırmış Durum
-91,115,Heyecanlı Durum
-5,223,Şaşırmış Durum
35,407,Mutlu Durum
27,480,Mutlu Durum
18,447,Mutlu Durum
-3091,262,Üzgün Durum
-9,169,Şaşırmış Durum
-32,198,Şaşırmış Durum
28,167,Heyecanlı Durum
-36,217,Şaşırmış Durum
25,183,Şaşırmış Durum
34,435,Mutlu Durum
-88,594,Sinirli Durum
21,417,Mutlu Durum
28,414,Mutlu Durum
-39,383,Sinirli Durum
15,371,Mutlu Durum
-66,34,Rahatlamış Durum
3,26,Rahatlamış Durum
-20,174,Heyecanlı Durum
-46,698,Sinirli Durum
35,24,Rahatlamış Durum
19,240,Şaşırmış Durum
-36,146,Şaşırmış Durum
-24,211,Şaşırmış Durum
-10,14,Rahatlamış Durum
-45,280,Sinirli Durum
-92,157,Sinirli Durum
-85,807,Sinirli Durum
0,165,Şaşırmış Durum
-17,159,Şaşırmış Durum
-47,313,Üzgün Durum
-1562,352,Üzgün Durum
-74,337,Sinirli Durum
-524,22,Üzgün Durum
-82,577,Sinirli Durum
4,214,Şaşırmış Durum
-65,222,Sinirli Durum
-100,484,Sinirli Durum
28,27,Rahatlamış Durum
-2494,576,Üzgün Durum
2,201,Şaşırmış Durum
28,461,Mutlu Durum
-1044,419,Üzgün Durum
-41,33,Rahatlamış Durum
-81,309,Sinirli Durum
17,366,Mutlu Durum
-63,780,Sinirli Durum
27,460,Mutlu Durum
-42,616,Sinirli Durum
-1365,498,Üzgün Durum
-2422,767,Üzgün Durum
-44,323,Sinirli Durum
13,16,Rahatlamış Durum
-23,230,Şaşırmış Durum
33,436,Mutlu Durum
-2406,222,Üzgün Durum
28,223,Şaşırmış Durum
-68,391,Sinirli Durum
-1278,14,Üzgün Durum
-707,744,Üzgün Durum
19,182,Heyecanlı Durum
-95,196,Heyecanlı Durum
17,425,Mutlu Durum
-50,26,Rahatlamış Durum
-31,185,Şaşırmış Durum
35,426,Mutlu Durum
-1377,499,Üzgün Durum
15,439,Mutlu Durum
-24,177,Şaşırmış Durum
-57,186,Heyecanlı Durum
28,424,Mutlu Durum
16,11,Rahatlamış Durum
-2494,216,Üzgün Durum
-77,688,Sinirli Durum
-49,17,Rahatlamış Durum
-17,189,Şaşırmış Durum
-97,383,Sinirli Durum
-104,148,Heyecanlı Durum
-57,37,Rahatlamış Durum
-68,17,Sinirli Durum
-65,404,Sinirli Durum
-2510,551,Üzgün Durum
-19,204,Şaşırmış Durum
-57,817,Sinirli Durum
5,106,Heyecanlı Durum
